method,step_size,epochs,seed,final_loss,gradient_evaluations,runtime_seconds,metadata
SGD,0.001,30,0,0.0904283298,17070,0.2301030420,{}
SGD,0.003,30,0,0.0726797067,17070,0.2304454580,{}
SGD,0.01,30,0,0.0643535930,17070,0.1774979159,{}
SGD,0.03,30,0,0.0641138605,17070,0.2064692089,{}
SGD,0.1,30,0,0.0705829100,17070,0.1857120419,{}
SVRG,0.005,30,0,0.0674639556,51210,0.5649617080,"{""inner_loop_steps"": 569}"
SVRG,0.01,30,0,0.0631672775,51210,0.4357755830,"{""inner_loop_steps"": 569}"
SVRG,0.03,30,0,0.0603956776,51210,0.3866285830,"{""inner_loop_steps"": 569}"
SVRG,0.05,30,0,0.0600083114,51210,0.3215270831,"{""inner_loop_steps"": 569}"
SVRG,0.1,30,0,0.0598532343,51210,0.3574440420,"{""inner_loop_steps"": 569}"
SVRG,0.2,30,0,0.0817626251,51210,0.3401860000,"{""inner_loop_steps"": 569}"
SAGA,0.005,30,0,0.0674698286,17639,0.2339278330,{}
SAGA,0.01,30,0,0.0631498309,17639,0.2508585000,{}
SAGA,0.03,30,0,0.0603328688,17639,0.2578590000,{}
SAGA,0.05,30,0,0.0615052350,17639,0.2240776670,{}
SAGA,0.1,30,0,0.0627392703,17639,0.2112622500,{}
SAGA,0.2,30,0,0.1091551955,17639,0.2539050829,{}
